id,price
18825,159086.33
30956,275787.56
47193,851639.1
27799,235547.56
22259,205852.83
42190,183573.11
50303,365133.4
34920,382603.9
58714,408748.78
4390,582123.3
13280,139648.62
25371,143203.75
21600,839028.5
60208,465197.94
42267,314181.34
61692,154816.12
25118,195726.03
59223,717985.6
9733,209432.11
46302,781096.5
15902,704824.5
21355,447524.28
50381,245198.12
3217,338759.22
38304,129583.625
32565,275206.1
33166,688459.6
11496,314476.4
22661,158278.55
43720,526184.8
53158,418333.16
54033,169694.28
19445,250889.53
38184,437516.44
12171,342942.78
49105,293565.62
61949,249645.77
40181,1906014.2
28420,178742.52
54660,234266.2
48202,726823.6
51380,308714.56
56273,153706.72
44835,362375.5
40711,394592.03
49275,1210623.4
27784,280064.6
25651,267346.2
62685,166227.1
15177,1983875.8
11130,710249.1
5186,118983.46
2530,130902.37
41409,412619.03
39043,419237.78
54874,362859.03
6736,145456.39
47756,308785.34
24858,192264.81
42307,2160767.0
33751,176464.36
54100,521513.8
3373,230118.92
45589,223338.2
4492,824428.3
56109,616285.8
42951,209554.53
24417,565037.1
39202,747777.3
21268,307046.34
25951,333111.5
29674,861142.25
15410,437752.6
31503,1336769.8
27314,127963.46
958,586688.1
39389,371124.8
29058,393772.22
64280,155214.83
38131,795571.9
48565,245326.16
17548,644422.44
12985,171651.69
10229,309862.75
5831,375801.44
18724,169651.92
52431,253988.6
60990,200452.1
2150,140572.92
54882,582167.8
35798,516046.0
29245,414390.72
29178,425949.25
60166,276506.75
42259,356305.75
65590,275197.22
308,935604.56
40493,109147.69
25779,344157.34
46296,338723.56
39157,224407.53
61182,326550.7
22722,257861.8
42517,291374.03
57693,310483.12
44994,415775.47
45586,371957.66
64004,1124901.6
33808,1361566.0
16795,1011745.1
10388,238947.56
37552,263100.94
12246,446352.5
3744,415325.44
42302,212880.62
57286,1167776.2
48424,152294.95
639,200600.02
12761,333813.7
12558,282560.12
15417,209134.19
1832,157014.53
38779,1561730.4
39404,2057459.2
58706,186445.52
17264,406853.94
16048,338060.9
35996,282934.78
42746,328710.44
6175,296377.97
10233,224775.77
63821,365674.62
6651,255471.48
33432,610465.7
29101,199881.77
33849,152451.22
28761,140633.2
4643,709833.2
18859,454591.94
17707,2338349.5
33279,625792.0
64908,406645.5
20465,6112786.0
66144,264740.0
52742,451885.53
53014,384849.22
56398,281846.6
56113,363205.22
62501,294640.5
17164,346105.1
25841,163074.02
19241,205414.67
26838,267346.2
5818,430297.94
48695,216095.6
41952,375801.44
51243,435551.25
53721,308973.62
9394,862767.1
44851,117938.59
64808,836218.06
66054,879493.4
50544,345297.4
